"starttime","stoptime","start station latitude","start station longitude","end station latitude","end station longitude","bid"
"2015-01-20 00:10:00","2015-01-20 00:16:00","40.7047177","-74.00926027","40.70834698","-74.01713445",19
"2015-01-20 00:22:00","2015-01-20 00:36:00","40.73827428","-73.98751968","40.71893904","-73.99266288",34
"2015-01-20 00:32:00","2015-01-20 01:05:00","40.72955361","-73.98057249","40.710451","-73.960876",54
"2015-01-20 01:10:00","2015-01-20 01:14:00","40.73454567","-73.99074142","40.74025878","-73.98409214",79
"2015-01-20 01:52:00","2015-01-20 01:59:00","40.72110063","-73.9919254","40.72368361","-73.97574813",95
"2015-01-20 02:32:00","2015-01-20 02:40:00","40.73038599","-74.00214988","40.72740794","-73.98142006",116
"2015-01-20 04:55:00","2015-01-20 05:12:00","40.76915505","-73.98191841","40.76269882","-73.99301222",152
"2015-01-20 05:35:00","2015-01-20 05:42:00","40.70862144","-74.00722156","40.7153379","-74.01658354",188
"2015-01-20 05:43:00","2015-01-20 06:01:00","40.749156","-73.9916","40.72873888","-74.00748842",218
"2015-01-20 06:02:00","2015-01-20 06:10:00","40.74096374","-73.98602213","40.75320159","-73.9779874",308
"2015-01-20 06:03:00","2015-01-20 06:25:00","40.74147286","-73.98320928","40.771522","-73.990541",310
"2015-01-20 06:04:00","2015-01-20 06:13:00","40.744023","-73.976056","40.7462009","-73.98855723",318
"2015-01-20 06:07:00","2015-01-20 06:14:00","40.74394314","-73.97966069","40.75097711","-73.98765428",334
"2015-01-20 06:14:00","2015-01-20 06:18:00","40.749156","-73.9916","40.74444921","-73.98303529",397
"2015-01-20 06:15:00","2015-01-20 06:25:00","40.73587678","-73.98205027","40.72456089","-73.99565293",400
"2015-01-20 06:19:00","2015-01-20 06:24:00","40.71117416","-74.00016545","40.71291224","-74.01020234",441
"2015-01-20 06:22:00","2015-01-20 06:33:00","40.74780373","-73.9734419","40.76590936","-73.97634151",457
"2015-01-20 06:24:00","2015-01-20 06:27:00","40.71285887","-73.96590294","40.71534825","-73.96024116",473
"2015-01-20 06:29:00","2015-01-20 06:41:00","40.74854862","-73.98808416","40.73587678","-73.98205027",503
"2015-01-20 06:30:00","2015-01-20 06:38:00","40.749156","-73.9916","40.74096374","-73.98602213",513
"2015-01-20 06:44:00","2015-01-20 07:05:00","40.74444921","-73.98303529","40.707873","-74.00167",638
"2015-01-20 06:48:00","2015-01-20 06:50:00","40.72165481","-74.00234737","40.71910537","-73.99973337",715
"2015-01-20 06:50:00","2015-01-20 07:02:00","40.749156","-73.9916","40.73704984","-73.99009296",731
"2015-01-20 06:57:00","2015-01-20 07:10:00","40.744219","-73.97121214","40.76228826","-73.98336183",824
"2015-01-20 06:59:00","2015-01-20 07:07:00","40.75640548","-73.9900262","40.74173969","-73.99415556",854
"2015-01-20 06:59:00","2015-01-20 07:02:00","40.75968085","-73.97031366","40.75510267","-73.97498696",860
"2015-01-20 07:00:00","2015-01-20 07:08:00","40.70255088","-73.98940236","40.69221589","-73.9842844",865
"2015-01-20 07:01:00","2015-01-20 07:04:00","40.72621788","-73.98379855","40.728145","-73.990214",876
"2015-01-20 07:02:00","2015-01-20 07:12:00","40.75640548","-73.9900262","40.75510267","-73.97498696",880
"2015-01-20 07:03:00","2015-01-20 07:08:00","40.7597108","-73.97402311","40.75320159","-73.9779874",902
